                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4623,                 1.3469,                  1.328,                0.65191,                0.67231,                0.73879,                0.45691,                 1.4923,                 1.8631,                 1.3778,               0.006733,               0.006733,               0.006733
                     35,                 1.4345,                 1.2142,                 1.3066,                 0.5664,                0.64613,                 0.7226,                0.46461,                  1.505,                 1.8312,                 1.4093,               0.006634,               0.006634,               0.006634
                     36,                 1.4216,                 1.2558,                 1.2912,                0.61027,                0.69427,                0.74559,                0.48728,                 1.4807,                 1.7502,                 1.3899,               0.006535,               0.006535,               0.006535
                     37,                 1.4328,                 1.3895,                 1.3365,                0.56363,                0.61045,                0.73673,                0.45967,                 1.5052,                 1.9129,                 1.3891,               0.006436,               0.006436,               0.006436
                     38,                 1.4157,                 1.2608,                 1.2815,                0.57288,                 0.6608,                0.69375,                0.41622,                 1.6358,                 1.9922,                 1.5041,               0.006337,               0.006337,               0.006337
                     39,                 1.4689,                 1.3496,                 1.3177,                0.53968,                0.57942,                0.68986,                 0.3945,                 1.6816,                  2.002,                 1.5316,               0.006238,               0.006238,               0.006238
                     40,                 1.4249,                 1.2887,                 1.3303,                0.52679,                0.63685,                0.71703,                0.43433,                 1.4954,                 1.9358,                 1.4206,               0.006139,               0.006139,               0.006139
                     41,                 1.4037,                 1.3486,                 1.3163,                0.55909,                0.65968,                0.69696,                0.44563,                 1.4961,                 2.0387,                 1.4293,                0.00604,                0.00604,                0.00604
                     42,                 1.3716,                 1.2069,                 1.2371,                0.51332,                0.66879,                0.61796,                0.36999,                 1.5672,                 2.1572,                 1.4661,               0.005941,               0.005941,               0.005941
                     43,                 1.3926,                 1.2695,                 1.2645,                 0.5976,                0.61157,                0.65213,                0.42094,                 1.5086,                 2.0791,                 1.4434,               0.005842,               0.005842,               0.005842
                     44,                 1.4018,                 1.2103,                 1.3134,                0.55792,                0.60764,                0.64328,                0.43387,                 1.4597,                 2.0205,                 1.4041,               0.005743,               0.005743,               0.005743
                     45,                 1.3835,                 1.2308,                 1.2598,                0.57559,                0.66592,                0.66477,                 0.4133,                 1.5858,                 1.9618,                 1.5057,               0.005644,               0.005644,               0.005644
                     46,                 1.4025,                 1.1743,                  1.286,                0.60337,                0.68377,                 0.6818,                0.44284,                 1.5463,                 1.9043,                 1.4817,               0.005545,               0.005545,               0.005545
                     47,                 1.3624,                  1.142,                 1.2495,                0.56609,                0.69501,                0.71364,                0.47985,                  1.432,                  1.953,                 1.4026,               0.005446,               0.005446,               0.005446
                     48,                 1.4004,                 1.1857,                 1.2617,                0.61285,                0.67879,                0.70053,                0.46301,                 1.4364,                 1.9006,                 1.4099,               0.005347,               0.005347,               0.005347
                     49,                 1.3639,                 1.1614,                 1.2567,                0.57101,                0.59416,                0.68427,                0.44561,                 1.4514,                 1.9709,                 1.4028,               0.005248,               0.005248,               0.005248
                     50,                 1.3423,                 1.0879,                 1.2622,                0.58965,                 0.6047,                 0.6568,                0.41347,                 1.5118,                 2.0075,                 1.4446,               0.005149,               0.005149,               0.005149
                     51,                 1.2791,                  1.118,                 1.2429,                0.63128,                0.58184,                0.66608,                0.42401,                  1.476,                 1.9056,                 1.3908,                0.00505,                0.00505,                0.00505
                     52,                 1.3358,                 1.1192,                  1.226,                0.59972,                0.60323,                0.67385,                 0.3966,                 1.5497,                 1.8993,                 1.4329,               0.004951,               0.004951,               0.004951
                     53,                 1.3354,                 1.1314,                 1.2865,                0.59509,                0.66765,                0.70047,                0.43231,                 1.4503,                 1.8777,                 1.3778,               0.004852,               0.004852,               0.004852
                     54,                 1.3159,                 1.0793,                 1.2453,                0.52576,                0.65113,                0.69792,                0.44381,                 1.3817,                 1.8303,                 1.3395,               0.004753,               0.004753,               0.004753
                     55,                 1.2593,                 1.0513,                 1.2044,                0.62786,                0.62393,                0.71429,                0.45839,                 1.3619,                 1.7677,                 1.3181,               0.004654,               0.004654,               0.004654
                     56,                 1.2247,                0.99872,                 1.2422,                0.63472,                0.65554,                 0.7303,                0.47951,                 1.4014,                 1.7659,                 1.3585,               0.004555,               0.004555,               0.004555
                     57,                 1.2889,                  1.103,                 1.2329,                0.66433,                0.63016,                0.73087,                0.47781,                 1.4128,                 1.7497,                  1.357,               0.004456,               0.004456,               0.004456
                     58,                 1.2693,                 1.0644,                 1.2334,                0.76017,                0.54279,                0.74847,                0.48794,                 1.3836,                 1.7084,                 1.3554,               0.004357,               0.004357,               0.004357
                     59,                 1.2227,                 1.0652,                  1.211,                  0.605,                0.65686,                0.70423,                0.45939,                   1.38,                 1.7095,                 1.3369,               0.004258,               0.004258,               0.004258
                     60,                 1.2691,                 1.0331,                  1.258,                0.57673,                0.65353,                0.71909,                0.48754,                 1.3048,                 1.6802,                 1.3102,               0.004159,               0.004159,               0.004159
                     61,                 1.2929,                 1.0815,                 1.2443,                0.60156,                0.64859,                0.75134,                0.48413,                 1.4175,                 1.6466,                 1.3516,                0.00406,                0.00406,                0.00406
                     62,                 1.2782,                 1.0636,                  1.215,                0.78044,                 0.5814,                0.75688,                0.49817,                 1.3637,                 1.6311,                 1.3304,               0.003961,               0.003961,               0.003961
                     63,                 1.2233,                 1.0541,                  1.228,                 0.5562,                  0.772,                0.77816,                0.52201,                 1.3478,                 1.6287,                 1.3295,               0.003862,               0.003862,               0.003862
                     64,                 1.2296,                 1.0105,                 1.1976,                0.71711,                0.63464,                0.75994,                0.49936,                  1.381,                 1.6809,                 1.3508,               0.003763,               0.003763,               0.003763
                     65,                 1.2154,                0.98593,                 1.2111,                0.69533,                0.65348,                  0.717,                0.46315,                 1.3693,                 1.6824,                 1.3552,               0.003664,               0.003664,               0.003664
                     66,                 1.2234,                0.97993,                 1.1783,                0.57756,                0.68562,                0.75535,                0.50514,                 1.3409,                 1.6872,                 1.3507,               0.003565,               0.003565,               0.003565
                     67,                 1.1861,                0.94806,                 1.1667,                0.50906,                0.67599,                0.70532,                 0.4616,                 1.3803,                 1.8585,                 1.3788,               0.003466,               0.003466,               0.003466
                     68,                 1.1961,                 1.0222,                 1.1875,                0.51253,                0.63487,                0.73796,                0.47608,                 1.4114,                 1.9204,                 1.3749,               0.003367,               0.003367,               0.003367
                     69,                 1.1764,                0.95772,                 1.1664,                0.58693,                0.57327,                0.74861,                0.48247,                 1.4232,                 2.0351,                 1.3887,               0.003268,               0.003268,               0.003268
                     70,                  1.166,                0.97069,                 1.1738,                0.75139,                0.55548,                0.77132,                0.49006,                 1.4157,                 1.8412,                 1.3765,               0.003169,               0.003169,               0.003169
                     71,                 1.1597,                  1.022,                 1.1985,                0.63777,                0.62442,                0.74815,                0.49135,                 1.3571,                 1.8064,                 1.3428,                0.00307,                0.00307,                0.00307
                     72,                 1.1556,                0.98204,                 1.1641,                0.61823,                0.58412,                0.73921,                 0.5001,                 1.3528,                 1.8187,                 1.3463,               0.002971,               0.002971,               0.002971
                     73,                 1.1463,                0.93449,                 1.1607,                0.72545,                0.54602,                0.70567,                0.43897,                 1.4785,                 1.9091,                 1.4441,               0.002872,               0.002872,               0.002872
                     74,                  1.168,                0.96481,                 1.2271,                0.67077,                0.55662,                0.68417,                0.42221,                 1.4895,                   1.89,                 1.4295,               0.002773,               0.002773,               0.002773
                     75,                  1.133,                0.93043,                 1.1532,                0.62863,                0.63051,                0.70076,                0.44762,                 1.4806,                 1.8692,                 1.4217,               0.002674,               0.002674,               0.002674
                     76,                 1.1331,                0.90984,                 1.1682,                0.61099,                0.66517,                0.70969,                0.46337,                 1.4335,                 1.8446,                 1.3925,               0.002575,               0.002575,               0.002575
                     77,                 1.1434,                0.92529,                 1.1629,                0.63997,                0.67677,                0.73344,                0.48707,                 1.3805,                 1.8002,                 1.3652,               0.002476,               0.002476,               0.002476
                     78,                 1.1016,                0.92608,                 1.1393,                0.74915,                0.59795,                0.71146,                0.46905,                 1.3912,                 1.8003,                 1.3536,               0.002377,               0.002377,               0.002377
                     79,                 1.1146,                0.97944,                 1.1672,                 0.7034,                0.63296,                0.72264,                0.47493,                 1.3627,                  1.792,                 1.3401,               0.002278,               0.002278,               0.002278
                     80,                 1.1117,                0.99009,                 1.1962,                0.69737,                0.64262,                0.71869,                 0.4706,                 1.3498,                 1.7972,                 1.3392,               0.002179,               0.002179,               0.002179
                     81,                 1.1483,                0.90538,                 1.1418,                 0.6847,                0.64283,                0.72651,                0.46729,                 1.3993,                  1.775,                 1.3824,                0.00208,                0.00208,                0.00208
                     82,                  1.112,                0.91118,                 1.1549,                0.75728,                0.60319,                0.72949,                0.48349,                 1.3424,                 1.7474,                 1.3503,               0.001981,               0.001981,               0.001981
                     83,                 1.0576,                0.88981,                 1.1096,                0.74519,                0.59945,                0.73972,                0.48415,                 1.3381,                 1.7488,                 1.3534,               0.001882,               0.001882,               0.001882
                     84,                  1.096,                0.88152,                 1.1264,                0.74903,                0.59057,                0.74086,                0.48763,                 1.3435,                 1.7642,                 1.3557,               0.001783,               0.001783,               0.001783
                     85,                 1.0835,                0.84132,                 1.1271,                0.61133,                0.66761,                0.73361,                0.47894,                 1.3358,                  1.788,                   1.34,               0.001684,               0.001684,               0.001684
                     86,                 1.0907,                 0.8726,                 1.1136,                0.67519,                0.65735,                0.72131,                0.47043,                 1.3406,                 1.7896,                 1.3416,               0.001585,               0.001585,               0.001585
                     87,                 1.0858,                0.86163,                 1.1295,                0.66517,                0.64925,                0.72363,                0.47169,                 1.3473,                 1.8051,                 1.3486,               0.001486,               0.001486,               0.001486
                     88,                 1.0869,                0.90309,                 1.1219,                0.65597,                0.64773,                0.72093,                0.46706,                 1.3402,                 1.8055,                  1.343,               0.001387,               0.001387,               0.001387
                     89,                  1.073,                0.89179,                 1.1273,                0.58905,                0.67202,                0.70838,                0.46584,                 1.3233,                 1.7938,                 1.3362,               0.001288,               0.001288,               0.001288
                     90,                0.95118,                0.75377,                  1.113,                0.57655,                0.66398,                 0.7126,                0.47242,                 1.3343,                 1.7561,                 1.3499,               0.001189,               0.001189,               0.001189
                     91,                0.94987,                0.72615,                 1.1249,                 0.6062,                0.68958,                0.73652,                0.49525,                 1.3216,                 1.6959,                 1.3509,                0.00109,                0.00109,                0.00109
                     92,                0.93185,                0.68975,                 1.1014,                0.61251,                0.68101,                0.74188,                0.49818,                 1.3301,                 1.7014,                 1.3537,               0.000991,               0.000991,               0.000991
                     93,                 0.9125,                0.69026,                 1.1249,                0.67462,                0.61737,                0.74597,                0.50829,                 1.3293,                 1.7077,                 1.3535,               0.000892,               0.000892,               0.000892
                     94,                 0.9594,                0.68765,                 1.1346,                0.65928,                 0.6621,                0.74019,                0.51029,                 1.3372,                 1.7123,                 1.3609,               0.000793,               0.000793,               0.000793
                     95,                 0.9261,                0.67492,                 1.1044,                0.65182,                0.65963,                0.70376,                0.46593,                 1.3686,                 1.7247,                 1.3868,               0.000694,               0.000694,               0.000694
                     96,                0.91911,                0.68917,                 1.1085,                0.65886,                0.65435,                0.69543,                0.45605,                 1.3637,                 1.7432,                  1.389,               0.000595,               0.000595,               0.000595
                     97,                  0.891,                0.67605,                 1.0921,                0.64967,                 0.6465,                0.69615,                0.46046,                 1.3614,                 1.7429,                 1.3908,               0.000496,               0.000496,               0.000496
                     98,                0.88841,                0.66862,                 1.0604,                0.64404,                0.65499,                0.70361,                0.46579,                 1.3637,                 1.7482,                 1.3954,               0.000397,               0.000397,               0.000397
                     99,                0.90995,                 0.6937,                  1.117,                0.62194,                0.66612,                0.69653,                0.46599,                 1.3693,                 1.7694,                 1.3948,               0.000298,               0.000298,               0.000298
