                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5142,                 1.4088,                 1.3469,                0.49469,                0.63948,                0.73844,                0.47967,                 1.4842,                 1.7701,                 1.3786,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.4432,                 1.2656,                 1.2989,                0.51233,                0.55493,                0.67118,                0.42764,                 1.4735,                 1.9503,                 1.3833,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.4801,                 1.3541,                 1.3128,                0.61316,                0.59944,                0.67497,                0.42065,                 1.5454,                 1.8872,                 1.4173,               0.009307,               0.009307,               0.009307
                     37,                 1.4456,                  1.447,                 1.3505,                0.60142,                0.60273,                0.69431,                   0.44,                 1.4694,                 1.8837,                 1.3743,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.4258,                 1.2864,                 1.2917,                0.54665,                0.56194,                0.63982,                0.39848,                 1.4872,                 1.9835,                 1.3974,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.4844,                 1.4247,                 1.3273,                 0.4938,                0.65495,                0.59618,                0.33556,                 1.7237,                 2.2333,                 1.5334,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5104,                 1.3546,                 1.3701,                0.45139,                0.61204,                 0.6226,                0.39392,                 1.3917,                 2.1428,                 1.3483,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.4753,                 1.3972,                 1.3497,                0.45714,                0.63073,                0.62926,                0.41166,                 1.4142,                 2.1837,                 1.3896,               0.009208,               0.009208,               0.009208
                     42,                 1.3927,                  1.232,                  1.247,                0.49494,                0.55332,                0.61965,                 0.3981,                 1.4041,                 2.1412,                 1.3701,              0.0091882,              0.0091882,              0.0091882
                     43,                  1.477,                 1.3161,                 1.3028,                0.57283,                0.66876,                0.66552,                0.43433,                 1.3758,                 2.0199,                 1.3596,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.4663,                 1.2622,                 1.3409,                0.65725,                0.59147,                0.68669,                0.44923,                  1.378,                 2.0264,                 1.3584,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.4559,                 1.2768,                  1.299,                0.53653,                0.65244,                0.67933,                0.46586,                 1.4016,                 1.9536,                 1.3861,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.4255,                 1.2282,                 1.3034,                0.50351,                0.63876,                0.67494,                0.46938,                 1.3144,                 1.9692,                 1.3146,               0.009109,               0.009109,               0.009109
                     47,                  1.419,                 1.1552,                  1.274,                0.53318,                0.67659,                0.71484,                0.51493,                 1.3002,                 2.0043,                 1.3064,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.4719,                 1.2351,                  1.285,                0.50066,                0.67109,                0.69203,                0.48187,                 1.3046,                 1.9406,                 1.3005,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.4248,                 1.2058,                  1.286,                0.49568,                0.65394,                0.67035,                0.47491,                 1.2684,                 2.0166,                 1.2862,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.3957,                 1.1593,                  1.283,                0.52883,                0.62427,                0.69347,                0.47542,                 1.2989,                 2.1053,                 1.2989,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.3434,                 1.1663,                 1.2604,                0.49841,                0.60445,                0.68967,                0.46988,                 1.3096,                 2.1364,                 1.2861,                0.00901,                0.00901,                0.00901
                     52,                 1.3707,                 1.1764,                 1.2417,                0.66748,                 0.5454,                0.67814,                0.45868,                 1.3193,                 2.0948,                 1.2883,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.3956,                 1.1726,                 1.3224,                0.50545,                0.68963,                0.69448,                0.48995,                 1.3156,                 1.9773,                 1.2851,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.3778,                 1.1283,                 1.2739,                0.56475,                0.61156,                0.67861,                0.46587,                 1.3156,                 2.1637,                 1.3094,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.3422,                 1.1224,                 1.2302,                0.70696,                0.57548,                0.71655,                0.50492,                 1.2766,                  1.852,                  1.268,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2519,                 1.0834,                 1.2516,                0.53088,                0.68832,                0.70632,                 0.4842,                 1.3476,                 1.8345,                 1.3142,               0.008911,               0.008911,               0.008911
                     57,                 1.3584,                 1.1608,                 1.2608,                0.62253,                0.61458,                0.68009,                0.41737,                 1.5402,                  2.331,                 1.4246,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.3211,                 1.1213,                 1.2561,                0.59308,                0.64322,                0.73545,                0.50316,                 1.3377,                 1.7585,                 1.3378,              0.0088714,              0.0088714,              0.0088714
                     59,                  1.288,                 1.1051,                 1.2359,                0.60459,                0.59842,                0.70642,                0.48141,                 1.3449,                 1.8204,                 1.3437,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.3422,                 1.1092,                 1.2845,                0.54603,                0.62544,                0.69006,                0.48865,                 1.2774,                 1.9515,                 1.2893,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.3715,                 1.1705,                 1.2843,                0.54034,                0.59936,                0.68063,                0.45492,                 1.3865,                 2.0355,                 1.3457,               0.008812,               0.008812,               0.008812
                     62,                 1.3532,                 1.1465,                 1.2445,                0.51286,                0.64531,                0.68654,                0.44958,                 1.4119,                 1.9018,                 1.3665,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.3196,                 1.1484,                 1.2735,                0.49282,                0.68355,                0.69521,                0.46966,                 1.3603,                 2.0446,                 1.3403,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.3289,                 1.0547,                 1.2247,                0.57996,                0.63018,                0.65452,                 0.4267,                 1.4905,                 2.1707,                 1.4007,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.3152,                 1.0436,                  1.253,                0.57667,                0.64451,                0.66823,                0.43269,                 1.5128,                 2.1004,                 1.4065,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.3142,                 1.0686,                 1.2176,                0.65932,                0.43661,                0.57925,                0.33908,                  1.751,                 2.3626,                 1.5656,               0.008713,               0.008713,               0.008713
                     67,                 1.2672,                 1.0122,                  1.206,                0.60276,                0.58723,                0.59883,                0.35406,                 1.7173,                 2.3177,                 1.5618,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.2846,                 1.0811,                 1.2149,                0.53981,                 0.6338,                0.66894,                0.40964,                 1.6661,                 2.1169,                 1.5095,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.2389,                 1.0409,                 1.1936,                0.58902,                0.69484,                0.73979,                0.51148,                 1.4147,                  1.784,                 1.3871,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.2506,                 1.0642,                  1.207,                0.60812,                0.71349,                0.72866,                0.48525,                 1.4818,                 1.8784,                 1.4085,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.2424,                 1.1155,                 1.2356,                0.25982,                0.53742,                0.38175,                0.20042,                 1.8016,                 2.9806,                 1.6722,               0.008614,               0.008614,               0.008614
                     72,                 1.2158,                 1.0488,                 1.1856,                0.51613,                0.57125,                0.61528,                0.40773,                 1.4788,                 2.2135,                 1.3988,              0.0085942,              0.0085942,              0.0085942
