                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8039,                 5.6448,                 2.1944,                0.00766,                0.34896,                0.02435,                0.01025,                 2.7845,                 5.0221,                 2.1563,                 0.0946,                 0.0006,                 0.0006
                      1,                 2.8401,                 5.5468,                 2.2027,                0.00686,                0.34583,                0.06418,                0.03508,                 2.5697,                 5.0161,                 2.0164,               0.088297,              0.0012974,              0.0012974
                      2,                 2.4631,                 5.3141,                 1.9593,                0.01184,                0.40677,                0.05969,                0.03504,                 2.0556,                 4.7221,                 1.5983,               0.081992,              0.0019921,              0.0019921
                      3,                 2.1351,                 4.9798,                 1.7062,                0.39612,                0.09115,                0.05909,                0.03486,                 1.9915,                  4.542,                 1.5893,               0.075684,               0.002684,               0.002684
                      4,                 1.9847,                 4.5562,                 1.5779,                0.65661,                0.06354,                0.05953,                0.03725,                 1.8508,                 4.6183,                 1.5179,               0.069373,              0.0033731,              0.0033731
                      5,                 1.8625,                 4.1272,                 1.4996,                 0.8674,                0.07812,                0.10263,                0.06361,                 1.8576,                 5.0538,                 1.5597,               0.063059,              0.0040594,              0.0040594
                      6,                 1.8817,                 3.5936,                 1.4822,                0.47827,                0.28125,                0.11108,                0.06432,                 1.8183,                 5.9614,                 1.6204,               0.056743,               0.004743,               0.004743
                      7,                 1.8423,                 3.3267,                 1.4852,                0.47782,                0.26953,                0.15852,                0.09554,                 1.8047,                 5.1232,                 1.5647,               0.050424,              0.0054238,              0.0054238
                      8,                 1.8274,                 2.9608,                 1.5278,                0.21432,                0.46563,                0.19288,                0.11634,                 1.7089,                 4.4425,                  1.511,               0.044102,              0.0061018,              0.0061018
                      9,                 1.7679,                 2.7693,                 1.4751,                0.40795,                0.35232,                0.31821,                 0.2099,                 1.6558,                 3.0508,                  1.533,               0.037777,               0.006777,               0.006777
                     10,                 1.6895,                 2.5777,                 1.4416,                0.62427,                0.26774,                 0.3679,                0.21698,                 1.7441,                 3.0548,                 1.6031,                0.03145,              0.0074495,              0.0074495
                     11,                 1.6961,                 2.4885,                  1.486,                0.24598,                0.52829,                0.39763,                 0.2619,                  1.624,                  2.828,                 1.4621,               0.025119,              0.0081192,              0.0081192
                     12,                 1.7464,                 2.4113,                  1.463,                0.39012,                0.32805,                0.30381,                0.18589,                 1.6782,                 2.9183,                  1.568,               0.018786,              0.0087862,              0.0087862
                     13,                 1.7274,                 2.3594,                 1.4686,                0.44205,                  0.269,                0.24618,                0.13909,                 2.0762,                 3.4102,                 1.6984,                0.01245,              0.0094503,              0.0094503
                     14,                 1.7531,                 2.2705,                 1.4482,                0.44407,                0.32797,                0.31172,                0.16693,                 2.1496,                 3.4178,                 1.8917,              0.0097228,              0.0097228,              0.0097228
                     15,                 1.7653,                 2.1615,                 1.4965,                0.42234,                0.35236,                0.32684,                0.19105,                 1.9384,                 2.9497,                 1.7022,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6978,                  1.913,                 1.4541,                0.49482,                 0.3929,                0.45093,                0.29673,                 1.5485,                 2.4951,                  1.485,               0.009703,               0.009703,               0.009703
                     17,                 1.7233,                 1.9641,                 1.5038,                0.44049,                0.55382,                0.52384,                0.30394,                 1.7356,                 2.3994,                 1.5259,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6477,                 2.0265,                 1.4189,                0.58306,                0.53759,                0.55541,                0.33835,                 1.5879,                 2.2135,                 1.4515,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.5919,                 1.9186,                 1.3854,                0.39328,                 0.5804,                 0.5227,                0.30251,                 1.6564,                 2.2471,                 1.5259,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.6025,                 1.7621,                 1.3869,                0.41175,                0.59091,                  0.552,                0.35549,                 1.4006,                 2.1646,                 1.3962,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.6561,                 1.7093,                 1.4144,                0.34821,                0.67668,                0.54515,                0.32802,                 1.5703,                 2.1826,                 1.4611,               0.009604,               0.009604,               0.009604
                     22,                 1.6223,                 1.6802,                 1.3547,                 0.5684,                0.48901,                0.57197,                0.37079,                 1.4271,                 2.2087,                 1.3843,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.6059,                 1.6633,                 1.3949,                0.73215,                0.41174,                0.58147,                0.40177,                 1.3893,                  2.206,                  1.342,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.6456,                 1.6826,                 1.4082,                0.47728,                 0.5327,                0.53606,                0.32305,                 1.5797,                 2.5019,                 1.4834,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.5151,                 1.5934,                 1.3602,                0.40962,                0.60378,                  0.526,                 0.3374,                 1.5278,                 2.2596,                  1.425,              0.0095248,              0.0095248,              0.0095248
                     26,                  1.578,                 1.5747,                 1.3563,                0.44085,                0.57353,                0.58647,                0.35748,                 1.5967,                 2.2094,                 1.4706,               0.009505,               0.009505,               0.009505
                     27,                 1.6014,                 1.5521,                 1.3935,                0.44255,                0.66038,                0.58138,                0.38402,                 1.4674,                 2.1463,                 1.3835,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.5851,                 1.5645,                 1.3183,                0.46126,                0.59309,                0.63267,                0.41628,                 1.4627,                 2.2384,                 1.3707,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.5633,                 1.5292,                 1.3955,                 0.5182,                0.67149,                0.62562,                0.40194,                 1.3956,                 2.1105,                 1.3619,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.5865,                 1.5568,                 1.3717,                0.52492,                0.58073,                0.67228,                0.45446,                 1.3185,                 2.1225,                 1.2938,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.5363,                 1.5083,                 1.3709,                 0.4389,                0.55544,                0.63779,                0.41147,                 1.4154,                 2.2198,                 1.3746,               0.009406,               0.009406,               0.009406
                     32,                 1.5438,                 1.4635,                 1.3853,                 0.5237,                0.68925,                0.68175,                0.41373,                 1.4628,                 1.9969,                  1.385,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.5465,                 1.4466,                 1.3791,                0.52532,                0.68878,                0.71999,                0.45739,                 1.4689,                 1.9489,                  1.393,              0.0093664,              0.0093664,              0.0093664
